STATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,N/A,576,"1,022",495,"6,611","2,177",566,0,97,"16,631","23,008","1,695",212,"3,707","1,445",671,"1,261","1,590","1,508",151,"1,903",330,"2,195",122,"7,602","2,746",294,33,254,0,812,826,"3,047","6,419",0,"2,694","1,169",498,"1,008",0,"2,952",52,"9,960","7,689",525,0,"3,535",677,42,874,539,335
Alaska,423,N/A,"1,176",65,"3,593","1,401",0,79,0,"1,100","2,208",561,361,715,126,142,"1,831",703,273,147,0,44,133,236,92,281,832,0,534,32,270,198,910,714,58,100,806,"1,301",574,0,281,370,243,"1,675",725,86,462,"4,888",0,260,291,848
Arizona,894,"1,946",N/A,"1,205","64,756","11,895","1,596",420,276,"9,306","4,242","2,339","2,775","13,387","5,443","2,649","3,383","1,105",679,355,"1,467","4,028","6,525","5,461",568,"3,708","2,414","1,312","7,350",224,"3,971","9,453","3,029","4,605","1,662","3,839","7,494","9,279","4,651",51,"1,768","2,408","1,834","14,923","9,979",817,"8,809","13,897","1,419","6,736",925,"1,462"
Arkansas,"2,057",103,836,N/A,"4,026","3,459",186,0,69,"1,351","2,683",241,0,"2,594",335,"1,115",979,"1,356","3,530",178,319,302,928,449,"3,699","6,911",36,"1,411","1,194",0,250,225,590,939,39,192,"5,773",389,"1,146",0,70,0,"2,635","13,487",619,0,"1,333","2,257",75,539,178,857
California,"3,045","4,206","33,757","4,282",N/A,"22,540","2,932","1,372","6,319","25,354","14,663","14,239","3,598","21,539","7,073","3,826","3,293","4,206","4,933","2,513","10,637","14,062","11,442","10,897","3,174","7,580","1,272","1,876","24,656",889,"11,988","8,087","40,877","14,268","2,664","9,652","6,023","18,919","13,090","2,265","5,137","1,333","6,158","39,109","11,114",400,"14,348","27,973","1,150","7,354","2,674","1,102"
Colorado,"2,328","1,698","13,015",808,"26,909",N/A,"2,882",0,"1,360","13,546","6,128","2,795","1,565","11,369","2,672","3,243","4,634","1,736","3,361",390,"3,467","2,196","4,285","3,725","1,319","6,246","1,334","3,050","4,366","1,360","2,731","5,073","8,612","6,059","1,801","3,674","3,828","3,473","4,586",63,"1,945","1,735","4,035","20,725","3,642",647,"7,148","4,487",309,"3,243","3,657",751
Connecticut,"1,102",331,309,960,"3,979",562,N/A,0,433,"4,629","1,129",449,0,"1,733",488,162,329,43,330,941,"1,716","8,519",614,780,0,248,0,0,34,750,"4,496",0,"22,160","1,651",64,"1,124",45,62,"3,427","3,255","1,054",0,394,"2,679",0,"1,131","2,320",631,286,237,0,"3,066"
Delaware,148,80,22,0,598,106,"1,263",N/A,113,708,293,68,30,953,26,0,0,36,0,116,"6,985",509,11,0,105,230,94,0,27,0,"5,656",0,"2,218",338,0,272,0,0,"10,139",0,212,23,34,515,0,112,"1,021",181,158,0,0,666
District of Columbia ,140,77,744,0,"3,908",531,"1,225",278,N/A,"2,717","1,105",103,0,"2,418",957,218,0,233,197,118,"12,778","1,974",922,542,224,566,17,190,356,168,"1,494",1,"4,762","1,367",83,659,122,125,"2,468",268,382,0,452,"2,213",249,0,"9,847",418,296,242,0,351
Florida,"11,353","1,852","10,312","4,136","28,420","9,880","15,285","3,143","1,752",N/A,"39,578","1,326",885,"23,319","14,370","6,630","2,392","8,588","5,375","2,859","17,648","19,882","19,530","6,778","6,621","11,656",677,"1,870","4,273","5,292","33,966","3,091","60,472","28,726","1,127","29,655","3,124","1,258","30,258","4,894","15,904",535,"18,647","31,153","3,531","1,627","29,485","6,152","3,979","11,298",454,"24,132"
